nm,Red,Green,Blue
380,97,0,97
381,100,0,102
382,103,0,106
383,106,0,111
384,109,0,115
385,111,0,119
386,114,0,124
387,116,0,128
388,118,0,132
389,120,0,136
390,121,0,141
391,123,0,145
392,124,0,149
393,126,0,153
394,127,0,157
395,128,0,161
396,129,0,165
397,129,0,169
398,130,0,173
399,130,0,177
400,131,0,181
401,131,0,185
402,131,0,188
403,131,0,192
404,130,0,196
405,130,0,200
406,129,0,204
407,129,0,207
408,128,0,211
409,127,0,215
410,126,0,219
411,124,0,222
412,123,0,226
413,121,0,230
414,120,0,233
415,118,0,237
416,116,0,241
417,113,0,244
418,111,0,248
419,109,0,251
420,106,0,255
421,102,0,255
422,97,0,255
423,93,0,255
424,89,0,255
425,84,0,255
426,80,0,255
427,75,0,255
428,70,0,255
429,66,0,255
430,61,0,255
431,56,0,255
432,51,0,255
433,46,0,255
434,40,0,255
435,35,0,255
436,29,0,255
437,23,0,255
438,17,0,255
439,10,0,255
440,0,0,255
441,0,11,255
442,0,19,255
443,0,27,255
444,0,34,255
445,0,40,255
446,0,47,255
447,0,53,255
448,0,59,255
449,0,65,255
450,0,70,255
451,0,76,255
452,0,81,255
453,0,87,255
454,0,92,255
455,0,97,255
456,0,102,255
457,0,108,255
458,0,113,255
459,0,118,255
460,0,123,255
461,0,127,255
462,0,132,255
463,0,137,255
464,0,142,255
465,0,146,255
466,0,151,255
467,0,156,255
468,0,160,255
469,0,165,255
470,0,169,255
471,0,174,255
472,0,178,255
473,0,183,255
474,0,187,255
475,0,192,255
476,0,196,255
477,0,200,255
478,0,205,255
479,0,209,255
480,0,213,255
481,0,218,255
482,0,222,255
483,0,226,255
484,0,230,255
485,0,234,255
486,0,239,255
487,0,243,255
488,0,247,255
489,0,251,255
490,0,255,255
491,0,255,245
492,0,255,234
493,0,255,224
494,0,255,213
495,0,255,203
496,0,255,192
497,0,255,181
498,0,255,169
499,0,255,158
500,0,255,146
501,0,255,135
502,0,255,123
503,0,255,110
504,0,255,97
505,0,255,84
506,0,255,70
507,0,255,56
508,0,255,40
509,0,255,23
510,0,255,0
511,9,255,0
512,15,255,0
513,21,255,0
514,26,255,0
515,31,255,0
516,36,255,0
517,40,255,0
518,45,255,0
519,49,255,0
520,54,255,0
521,58,255,0
522,62,255,0
523,66,255,0
524,70,255,0
525,74,255,0
526,78,255,0
527,82,255,0
528,86,255,0
529,90,255,0
530,94,255,0
531,97,255,0
532,101,255,0
533,105,255,0
534,108,255,0
535,112,255,0
536,115,255,0
537,119,255,0
538,123,255,0
539,126,255,0
540,129,255,0
541,133,255,0
542,136,255,0
543,140,255,0
544,143,255,0
545,146,255,0
546,150,255,0
547,153,255,0
548,156,255,0
549,160,255,0
550,163,255,0
551,166,255,0
552,169,255,0
553,173,255,0
554,176,255,0
555,179,255,0
556,182,255,0
557,185,255,0
558,189,255,0
559,192,255,0
560,195,255,0
561,198,255,0
562,201,255,0
563,204,255,0
564,207,255,0
565,210,255,0
566,213,255,0
567,216,255,0
568,219,255,0
569,222,255,0
570,225,255,0
571,228,255,0
572,231,255,0
573,234,255,0
574,237,255,0
575,240,255,0
576,243,255,0
577,246,255,0
578,249,255,0
579,252,255,0
580,255,255,0
581,255,252,0
582,255,249,0
583,255,246,0
584,255,242,0
585,255,239,0
586,255,236,0
587,255,233,0
588,255,230,0
589,255,226,0
590,255,223,0
591,255,220,0
592,255,217,0
593,255,213,0
594,255,210,0
595,255,207,0
596,255,203,0
597,255,200,0
598,255,197,0
599,255,193,0
600,255,190,0
601,255,187,0
602,255,183,0
603,255,180,0
604,255,176,0
605,255,173,0
606,255,169,0
607,255,166,0
608,255,162,0
609,255,159,0
610,255,155,0
611,255,152,0
612,255,148,0
613,255,145,0
614,255,141,0
615,255,137,0
616,255,134,0
617,255,130,0
618,255,126,0
619,255,123,0
620,255,119,0
621,255,115,0
622,255,111,0
623,255,107,0
624,255,103,0
625,255,99,0
626,255,95,0
627,255,91,0
628,255,87,0
629,255,83,0
630,255,79,0
631,255,75,0
632,255,70,0
633,255,66,0
634,255,62,0
635,255,57,0
636,255,52,0
637,255,48,0
638,255,43,0
639,255,38,0
640,255,33,0
641,255,27,0
642,255,22,0
643,255,16,0
644,255,9,0
645,255,0,0
646,255,0,0
647,255,0,0
648,255,0,0
649,255,0,0
650,255,0,0
651,255,0,0
652,255,0,0
653,255,0,0
654,255,0,0
655,255,0,0
656,255,0,0
657,255,0,0
658,255,0,0
659,255,0,0
660,255,0,0
661,255,0,0
662,255,0,0
663,255,0,0
664,255,0,0
665,255,0,0
666,255,0,0
667,255,0,0
668,255,0,0
669,255,0,0
670,255,0,0
671,255,0,0
672,255,0,0
673,255,0,0
674,255,0,0
675,255,0,0
676,255,0,0
677,255,0,0
678,255,0,0
679,255,0,0
680,255,0,0
681,255,0,0
682,255,0,0
683,255,0,0
684,255,0,0
685,255,0,0
686,255,0,0
687,255,0,0
688,255,0,0
689,255,0,0
690,255,0,0
691,255,0,0
692,255,0,0
693,255,0,0
694,255,0,0
695,255,0,0
696,255,0,0
697,255,0,0
698,255,0,0
699,255,0,0
700,255,0,0
701,253,0,0
702,251,0,0
703,250,0,0
704,248,0,0
705,246,0,0
706,244,0,0
707,242,0,0
708,241,0,0
709,239,0,0
710,237,0,0
711,235,0,0
712,233,0,0
713,232,0,0
714,230,0,0
715,228,0,0
716,226,0,0
717,224,0,0
718,222,0,0
719,220,0,0
720,219,0,0
721,217,0,0
722,215,0,0
723,213,0,0
724,211,0,0
725,209,0,0
726,207,0,0
727,206,0,0
728,204,0,0
729,202,0,0
730,200,0,0
731,198,0,0
732,196,0,0
733,194,0,0
734,192,0,0
735,190,0,0
736,188,0,0
737,186,0,0
738,185,0,0
739,183,0,0
740,181,0,0
741,179,0,0
742,177,0,0
743,175,0,0
744,173,0,0
745,171,0,0
746,169,0,0
747,167,0,0
748,165,0,0
749,163,0,0
750,161,0,0
751,159,0,0
752,157,0,0
753,155,0,0
754,153,0,0
755,151,0,0
756,149,0,0
757,147,0,0
758,145,0,0
759,143,0,0
760,141,0,0
761,138,0,0
762,136,0,0
763,134,0,0
764,132,0,0
765,130,0,0
766,128,0,0
767,126,0,0
768,124,0,0
769,122,0,0
770,119,0,0
771,117,0,0
772,115,0,0
773,113,0,0
774,111,0,0
775,109,0,0
776,106,0,0
777,104,0,0
778,102,0,0
779,100,0,0
780,97,0,0
